;text;description;action;expected_response;positive;actor;request_type;endpoint;response_code
0;"администратор удаляет товар из каталога.
действие: delete-запрос к конечной точке ""/catalog/remove"" с параметром product_id.
ожидаемый ответ: подтверждение удаления товара из каталога.";администратор удаляет товар из каталога.;"delete-запрос к конечной точке ""/catalog/remove"" с параметром product_id.";подтверждение удаления товара из каталога.;True;администратор;delete;/catalog/remove;200
1;"модератор удаляет комментарий под постом.
действие: delete-запрос к конечной точке ""/post/comment/remove"" с параметром comment_id.
ожидаемый ответ: подтверждение удаления комментария.";модератор удаляет комментарий под постом.;"delete-запрос к конечной точке ""/post/comment/remove"" с параметром comment_id.";подтверждение удаления комментария.;True;модератор;delete;/post/comment/remove;200
2;"менеджер удаляет клиента из базы данных.
действие: delete-запрос к конечной точке ""/database/customer/remove"" с параметром customer_id.
ожидаемый ответ: подтверждение удаления клиента из базы данных.";менеджер удаляет клиента из базы данных.;"delete-запрос к конечной точке ""/database/customer/remove"" с параметром customer_id.";подтверждение удаления клиента из базы данных.;True;менеджер;delete;/database/customer/remove;200
3;"редактор удаляет статью из журнала.
действие: delete-запрос к конечной точке ""/magazine/article/remove"" с параметром article_id.
ожидаемый ответ: подтверждение удаления статьи из журнала.";редактор удаляет статью из журнала.;"delete-запрос к конечной точке ""/magazine/article/remove"" с параметром article_id.";подтверждение удаления статьи из журнала.;True;редактор;delete;/magazine/article/remove;200
4;"модератор удаляет изображение из галереи.
действие: delete-запрос к конечной точке ""/gallery/image/remove"" с параметром image_id.
ожидаемый ответ: подтверждение удаления изображения из галереи.";модератор удаляет изображение из галереи.;"delete-запрос к конечной точке ""/gallery/image/remove"" с параметром image_id.";подтверждение удаления изображения из галереи.;True;модератор;delete;/gallery/image/remove;200
5;"администратор удаляет страницу пользователя.
действие: delete-запрос к конечной точке ""/user/page/remove"" с параметром user_id.
ожидаемый ответ: подтверждение удаления страницы пользователя.";администратор удаляет страницу пользователя.;"delete-запрос к конечной точке ""/user/page/remove"" с параметром user_id.";подтверждение удаления страницы пользователя.;True;администратор;delete;/user/page/remove;200
6;"менеджер удаляет заказ из системы.
действие: delete-запрос к конечной точке ""/system/order/remove"" с параметром order_id.
ожидаемый ответ: подтверждение удаления заказа из системы.";менеджер удаляет заказ из системы.;"delete-запрос к конечной точке ""/system/order/remove"" с параметром order_id.";подтверждение удаления заказа из системы.;True;менеджер;delete;/system/order/remove;200
7;"редактор удаляет комментарий на фотографии.
действие: delete-запрос к конечной точке ""/photo/comment/remove"" с параметром comment_id.
ожидаемый ответ: подтверждение удаления комментария на фотографии.";редактор удаляет комментарий на фотографии.;"delete-запрос к конечной точке ""/photo/comment/remove"" с параметром comment_id.";подтверждение удаления комментария на фотографии.;True;редактор;delete;/photo/comment/remove;200
8;"администратор удаляет видео из библиотеки.
действие: delete-запрос к конечной точке ""/library/video/remove"" с параметром video_id.
ожидаемый ответ: подтверждение удаления видео из библиотеки.";администратор удаляет видео из библиотеки.;"delete-запрос к конечной точке ""/library/video/remove"" с параметром video_id.";подтверждение удаления видео из библиотеки.;True;администратор;delete;/library/video/remove;200
9;" модератор удаляет сообщение из чата.
 действие: delete-запрос к конечной точке ""/chat/message/remove"" с параметром message_id.
 ожидаемый ответ: подтверждение удаления сообщения из чата.";модератор удаляет сообщение из чата.;"delete-запрос к конечной точке ""/chat/message/remove"" с параметром message_id.";подтверждение удаления сообщения из чата.;True;модератор;delete;/chat/message/remove;200
