;testcase_id;word_num;word;label
0;0;0;администратор;B-ACTOR
1;0;1;удаляет;O
2;0;2;товар;O
3;0;3;из;O
4;0;4;каталога;O
5;0;5;.;O
6;0;6;действие;O
7;0;7;:;O
8;0;8;delete;B-REQUEST_TYPE
9;0;9;-;O
10;0;10;запрос;O
11;0;11;к;O
12;0;12;конечной;O
13;0;13;точке;O
14;0;14;"""";O
15;0;15;/catalog/remove;B-ENDPOINT
16;0;16;"""";O
17;0;17;с;O
18;0;18;параметром;O
19;0;19;product_id;O
20;0;20;.;O
21;0;21;ожидаемый;O
22;0;22;ответ;O
23;0;23;:;O
24;0;24;подтверждение;O
25;0;25;удаления;O
26;0;26;товара;O
27;0;27;из;O
28;0;28;каталога;O
29;0;29;.;O
30;1;0;модератор;B-ACTOR
31;1;1;удаляет;O
32;1;2;комментарий;O
33;1;3;под;O
34;1;4;постом;O
35;1;5;.;O
36;1;6;действие;O
37;1;7;:;O
38;1;8;delete;B-REQUEST_TYPE
39;1;9;-;O
40;1;10;запрос;O
41;1;11;к;O
42;1;12;конечной;O
43;1;13;точке;O
44;1;14;"""";O
45;1;15;/post/comment/remove;B-ENDPOINT
46;1;16;"""";O
47;1;17;с;O
48;1;18;параметром;O
49;1;19;comment_id;O
50;1;20;.;O
51;1;21;ожидаемый;O
52;1;22;ответ;O
53;1;23;:;O
54;1;24;подтверждение;O
55;1;25;удаления;O
56;1;26;комментария;O
57;1;27;.;O
58;2;0;менеджер;B-ACTOR
59;2;1;удаляет;O
60;2;2;клиента;O
61;2;3;из;O
62;2;4;базы;O
63;2;5;данных;O
64;2;6;.;O
65;2;7;действие;O
66;2;8;:;O
67;2;9;delete;B-REQUEST_TYPE
68;2;10;-;O
69;2;11;запрос;O
70;2;12;к;O
71;2;13;конечной;O
72;2;14;точке;O
73;2;15;"""";O
74;2;16;/database/customer/remove;B-ENDPOINT
75;2;17;"""";O
76;2;18;с;O
77;2;19;параметром;O
78;2;20;customer_id;O
79;2;21;.;O
80;2;22;ожидаемый;O
81;2;23;ответ;O
82;2;24;:;O
83;2;25;подтверждение;O
84;2;26;удаления;O
85;2;27;клиента;O
86;2;28;из;O
87;2;29;базы;O
88;2;30;данных;O
89;2;31;.;O
90;3;0;редактор;B-ACTOR
91;3;1;удаляет;O
92;3;2;статью;O
93;3;3;из;O
94;3;4;журнала;O
95;3;5;.;O
96;3;6;действие;O
97;3;7;:;O
98;3;8;delete;B-REQUEST_TYPE
99;3;9;-;O
100;3;10;запрос;O
101;3;11;к;O
102;3;12;конечной;O
103;3;13;точке;O
104;3;14;"""";O
105;3;15;/magazine/article/remove;B-ENDPOINT
106;3;16;"""";O
107;3;17;с;O
108;3;18;параметром;O
109;3;19;article_id;O
110;3;20;.;O
111;3;21;ожидаемый;O
112;3;22;ответ;O
113;3;23;:;O
114;3;24;подтверждение;O
115;3;25;удаления;O
116;3;26;статьи;O
117;3;27;из;O
118;3;28;журнала;O
119;3;29;.;O
120;4;0;модератор;B-ACTOR
121;4;1;удаляет;O
122;4;2;изображение;O
123;4;3;из;O
124;4;4;галереи;O
125;4;5;.;O
126;4;6;действие;O
127;4;7;:;O
128;4;8;delete;B-REQUEST_TYPE
129;4;9;-;O
130;4;10;запрос;O
131;4;11;к;O
132;4;12;конечной;O
133;4;13;точке;O
134;4;14;"""";O
135;4;15;/gallery/image/remove;B-ENDPOINT
136;4;16;"""";O
137;4;17;с;O
138;4;18;параметром;O
139;4;19;image_id;O
140;4;20;.;O
141;4;21;ожидаемый;O
142;4;22;ответ;O
143;4;23;:;O
144;4;24;подтверждение;O
145;4;25;удаления;O
146;4;26;изображения;O
147;4;27;из;O
148;4;28;галереи;O
149;4;29;.;O
150;5;0;администратор;B-ACTOR
151;5;1;удаляет;O
152;5;2;страницу;O
153;5;3;пользователя;O
154;5;4;.;O
155;5;5;действие;O
156;5;6;:;O
157;5;7;delete;B-REQUEST_TYPE
158;5;8;-;O
159;5;9;запрос;O
160;5;10;к;O
161;5;11;конечной;O
162;5;12;точке;O
163;5;13;"""";O
164;5;14;/user/page/remove;B-ENDPOINT
165;5;15;"""";O
166;5;16;с;O
167;5;17;параметром;O
168;5;18;user_id;O
169;5;19;.;O
170;5;20;ожидаемый;O
171;5;21;ответ;O
172;5;22;:;O
173;5;23;подтверждение;O
174;5;24;удаления;O
175;5;25;страницы;O
176;5;26;пользователя;O
177;5;27;.;O
178;6;0;менеджер;B-ACTOR
179;6;1;удаляет;O
180;6;2;заказ;O
181;6;3;из;O
182;6;4;системы;O
183;6;5;.;O
184;6;6;действие;O
185;6;7;:;O
186;6;8;delete;B-REQUEST_TYPE
187;6;9;-;O
188;6;10;запрос;O
189;6;11;к;O
190;6;12;конечной;O
191;6;13;точке;O
192;6;14;"""";O
193;6;15;/system/order/remove;B-ENDPOINT
194;6;16;"""";O
195;6;17;с;O
196;6;18;параметром;O
197;6;19;order_id;O
198;6;20;.;O
199;6;21;ожидаемый;O
200;6;22;ответ;O
201;6;23;:;O
202;6;24;подтверждение;O
203;6;25;удаления;O
204;6;26;заказа;O
205;6;27;из;O
206;6;28;системы;O
207;6;29;.;O
208;7;0;редактор;B-ACTOR
209;7;1;удаляет;O
210;7;2;комментарий;O
211;7;3;на;O
212;7;4;фотографии;O
213;7;5;.;O
214;7;6;действие;O
215;7;7;:;O
216;7;8;delete;B-REQUEST_TYPE
217;7;9;-;O
218;7;10;запрос;O
219;7;11;к;O
220;7;12;конечной;O
221;7;13;точке;O
222;7;14;"""";O
223;7;15;/photo/comment/remove;B-ENDPOINT
224;7;16;"""";O
225;7;17;с;O
226;7;18;параметром;O
227;7;19;comment_id;O
228;7;20;.;O
229;7;21;ожидаемый;O
230;7;22;ответ;O
231;7;23;:;O
232;7;24;подтверждение;O
233;7;25;удаления;O
234;7;26;комментария;O
235;7;27;на;O
236;7;28;фотографии;O
237;7;29;.;O
238;8;0;администратор;B-ACTOR
239;8;1;удаляет;O
240;8;2;видео;O
241;8;3;из;O
242;8;4;библиотеки;O
243;8;5;.;O
244;8;6;действие;O
245;8;7;:;O
246;8;8;delete;B-REQUEST_TYPE
247;8;9;-;O
248;8;10;запрос;O
249;8;11;к;O
250;8;12;конечной;O
251;8;13;точке;O
252;8;14;"""";O
253;8;15;/library/video/remove;B-ENDPOINT
254;8;16;"""";O
255;8;17;с;O
256;8;18;параметром;O
257;8;19;video_id;O
258;8;20;.;O
259;8;21;ожидаемый;O
260;8;22;ответ;O
261;8;23;:;O
262;8;24;подтверждение;O
263;8;25;удаления;O
264;8;26;видео;O
265;8;27;из;O
266;8;28;библиотеки;O
267;8;29;.;O
268;9;0;модератор;B-ACTOR
269;9;1;удаляет;O
270;9;2;сообщение;O
271;9;3;из;O
272;9;4;чата;O
273;9;5;.;O
274;9;6;действие;O
275;9;7;:;O
276;9;8;delete;B-REQUEST_TYPE
277;9;9;-;O
278;9;10;запрос;O
279;9;11;к;O
280;9;12;конечной;O
281;9;13;точке;O
282;9;14;"""";O
283;9;15;/chat/message/remove;B-ENDPOINT
284;9;16;"""";O
285;9;17;с;O
286;9;18;параметром;O
287;9;19;message_id;O
288;9;20;.;O
289;9;21;ожидаемый;O
290;9;22;ответ;O
291;9;23;:;O
292;9;24;подтверждение;O
293;9;25;удаления;O
294;9;26;сообщения;O
295;9;27;из;O
296;9;28;чата;O
297;9;29;.;O
298;10;0;менеджер;B-ACTOR
299;10;1;удаляет;O
300;10;2;товар;O
301;10;3;из;O
302;10;4;инвентаря;O
303;10;5;.;O
304;10;6;действие;O
305;10;7;:;O
306;10;8;delete;B-REQUEST_TYPE
307;10;9;-;O
308;10;10;запрос;O
309;10;11;к;O
310;10;12;конечной;O
311;10;13;точке;O
312;10;14;"""";O
313;10;15;/inventory/item/remove;B-ENDPOINT
314;10;16;"""";O
315;10;17;с;O
316;10;18;параметром;O
317;10;19;item_id;O
318;10;20;.;O
319;10;21;ожидаемый;O
320;10;22;ответ;O
321;10;23;:;O
322;10;24;подтверждение;O
323;10;25;удаления;O
324;10;26;товара;O
325;10;27;из;O
326;10;28;инвентаря;O
327;10;29;.;O
328;11;0;редактор;B-ACTOR
329;11;1;удаляет;O
330;11;2;страницу;O
331;11;3;из;O
332;11;4;вики;O
333;11;5;.;O
334;11;6;действие;O
335;11;7;:;O
336;11;8;delete;B-REQUEST_TYPE
337;11;9;-;O
338;11;10;запрос;O
339;11;11;к;O
340;11;12;конечной;O
341;11;13;точке;O
342;11;14;"""";O
343;11;15;/wiki/page/remove;B-ENDPOINT
344;11;16;"""";O
345;11;17;с;O
346;11;18;параметром;O
347;11;19;page_id;O
348;11;20;.;O
349;11;21;ожидаемый;O
350;11;22;ответ;O
351;11;23;:;O
352;11;24;подтверждение;O
353;11;25;удаления;O
354;11;26;страницы;O
355;11;27;из;O
356;11;28;вики;O
357;11;29;.;O
358;12;0;администратор;B-ACTOR
359;12;1;удаляет;O
360;12;2;категорию;O
361;12;3;из;O
362;12;4;каталога;O
363;12;5;.;O
364;12;6;действие;O
365;12;7;:;O
366;12;8;delete;B-REQUEST_TYPE
367;12;9;-;O
368;12;10;запрос;O
369;12;11;к;O
370;12;12;конечной;O
371;12;13;точке;O
372;12;14;"""";O
373;12;15;/catalog/category/remove;B-ENDPOINT
374;12;16;"""";O
375;12;17;с;O
376;12;18;параметром;O
377;12;19;category_id;O
378;12;20;.;O
379;12;21;ожидаемый;O
380;12;22;ответ;O
381;12;23;:;O
382;12;24;подтверждение;O
383;12;25;удаления;O
384;12;26;категории;O
385;12;27;из;O
386;12;28;каталога;O
387;12;29;.;O
388;13;0;модератор;B-ACTOR
389;13;1;удаляет;O
390;13;2;отзыв;O
391;13;3;о;O
392;13;4;товаре;O
393;13;5;.;O
394;13;6;действие;O
395;13;7;:;O
396;13;8;delete;B-REQUEST_TYPE
397;13;9;-;O
398;13;10;запрос;O
399;13;11;к;O
400;13;12;конечной;O
401;13;13;точке;O
402;13;14;"""";O
403;13;15;/product/review/remove;B-ENDPOINT
404;13;16;"""";O
405;13;17;с;O
406;13;18;параметром;O
407;13;19;review_id;O
408;13;20;.;O
409;13;21;ожидаемый;O
410;13;22;ответ;O
411;13;23;:;O
412;13;24;подтверждение;O
413;13;25;удаления;O
414;13;26;отзыва;O
415;13;27;о;O
416;13;28;товаре;O
417;13;29;.;O
418;14;0;менеджер;B-ACTOR
419;14;1;удаляет;O
420;14;2;предложение;O
421;14;3;сотрудничества;O
422;14;4;.;O
423;14;5;действие;O
424;14;6;:;O
425;14;7;delete;B-REQUEST_TYPE
426;14;8;-;O
427;14;9;запрос;O
428;14;10;к;O
429;14;11;конечной;O
430;14;12;точке;O
431;14;13;"""";O
432;14;14;/partnership/proposal/remove;B-ENDPOINT
433;14;15;"""";O
434;14;16;с;O
435;14;17;параметром;O
436;14;18;proposal_id;O
437;14;19;.;O
438;14;20;ожидаемый;O
439;14;21;ответ;O
440;14;22;:;O
441;14;23;подтверждение;O
442;14;24;удаления;O
443;14;25;предложения;O
444;14;26;сотрудничества;O
445;14;27;.;O
446;15;0;редактор;B-ACTOR
447;15;1;удаляет;O
448;15;2;страницу;O
449;15;3;из;O
450;15;4;архива;O
451;15;5;.;O
452;15;6;действие;O
453;15;7;:;O
454;15;8;delete;B-REQUEST_TYPE
455;15;9;-;O
456;15;10;запрос;O
457;15;11;к;O
458;15;12;конечной;O
459;15;13;точке;O
460;15;14;"""";O
461;15;15;/archive/page/remove;B-ENDPOINT
462;15;16;"""";O
463;15;17;с;O
464;15;18;параметром;O
465;15;19;page_id;O
466;15;20;.;O
467;15;21;ожидаемый;O
468;15;22;ответ;O
469;15;23;:;O
470;15;24;подтверждение;O
471;15;25;удаления;O
472;15;26;страницы;O
473;15;27;из;O
474;15;28;архива;O
475;15;29;.;O
476;16;0;администратор;B-ACTOR
477;16;1;удаляет;O
478;16;2;скидочный;O
479;16;3;купон;O
480;16;4;из;O
481;16;5;системы;O
482;16;6;.;O
483;16;7;действие;O
484;16;8;:;O
485;16;9;delete;B-REQUEST_TYPE
